Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
10317,2001,06/17/2002,Killingly,60 ORLEANS AVE,65450.0,74000.0,0.884459459,,
16197,2016,05/31/2017,Seymour,23 CANFIELD RD,183820.0,200500.0,0.91680798,Single Family,Single Family
60513,2006,08/16/2007,Farmington,9I TALCOTT GLN RD,102830.0,220000.0,0.467409091,Single Family,Single Family
180041,2018,12/26/2018,Hebron,237 SKINNER LN,174020.0,248000.0,0.7016,Single Family,Single Family
160851,2016,04/17/2017,Middletown,10 LITCHFIELD CT,134320.0,163300.0,0.822535211,Single Family,Single Family
90559,2009,03/08/2010,Waterbury,2023 BALDWIN ST,96530.0,64900.0,1.487365177,Single Family,Single Family
50060,2005,10/17/2005,Bristol,285 GLENDALE DR,162780.0,286000.0,0.569160839,,
60790,2006,06/21/2007,Hamden,26 MERRITT ST,106260.0,238000.0,0.446470588,Single Family,Single Family
110167,2011,06/12/2012,Rocky Hill,13 ROSE COURT,190260.0,210000.0,0.906,Condo,Condo
20393,2020,08/09/2021,Montville,24 TORY DR,171130.0,336360.0,0.5087,Residential,Single Family
21618,2002,06/09/2003,Stamford,35 ASHTON RD,112770.0,367500.0,0.306857143,,
141010,2014,06/08/2015,Waterbury,86 SHERMAN AVE #10,23880.0,46000.0,0.519130435,Condo,Condo
18010,2018,10/22/2018,Orange,515 CARRIAGE DR,292700.0,430000.0,0.6806,Single Family,Single Family
41346,2004,08/29/2005,Fairfield,50 STONE RDG WAY UT1D,943110.0,676000.0,1.395133136,,
11440,2001,09/13/2002,Stratford,279B SOUTH TRL,120750.0,200000.0,0.60375,,
30726,2003,07/09/2004,Enfield,142 PEARL ST,68600.0,159900.0,0.429018136,,
180406,2018,07/29/2019,Newington,66 MILLBROOK CT,63270.0,95000.0,0.666,Condo,Condo
100462,2010,07/22/2011,Bristol,410 EMMETT ST UN15,96180.0,96000.0,1.001875,Condo,Condo
13466,2013,06/30/2014,East Hartford,74 SPARROWBUSH RD.,122680.0,176000.0,0.697045455,Single Family,Single Family
40931,2004,05/27/2005,Bristol,109 REDSTONE ST,78170.0,155000.0,0.504322581,,
190603,2019,05/28/2020,Bristol,40 MATTHEWS ST #8,15120.0,29000.0,0.5214,Single Family,Single Family
100031,2010,10/22/2010,New Britain,68 NORTON RD,106330.0,156000.0,0.681602564,Single Family,Single Family
180183,2018,03/07/2019,Stonington,PROSPECT ST,143100.0,300000.0,0.477,,
160093,2016,04/06/2017,Windsor Locks,45 CHAPMAN CHASE,28000.0,368935.0,0.075894128,Condo,Condo
151239,2015,10/16/2015,Shelton,75 WEST STREET,116130.0,161000.0,0.721304348,Single Family,Single Family
50272,2005,03/07/2006,Branford,525 E MAIN ST LT 60,16200.0,9000.0,1.8,,
180585,2018,09/03/2019,Trumbull,13 REGINA ST,239890.0,385000.0,0.623090909,Single Family,Single Family
10029,2010,02/14/2011,Canterbury,273 WAUREGAN RD,156300.0,175000.0,0.893142857,Single Family,Single Family
150522,2015,07/18/2016,Glastonbury,60 RAMBLING BROOK LN A5,63800.0,87000.0,0.733333333,Condo,Condo
120350,2012,04/08/2013,New Haven,292 POPLAR STREET,73850.0,32500.0,2.272307692,Two Family,Two Family
210632,2021,03/24/2022,New Haven,25 ROCK HILL RD D,86520.0,165000.0,0.5243,Residential,Condo
140171,2014,01/30/2015,Enfield,17 CARRIAGE DR,119780.0,79950.0,1.498186366,Single Family,Single Family
18085,2018,08/30/2019,Ashford,109 LAKE VIEW DR,99000.0,215000.0,0.4604,Single Family,Single Family
40698,2004,09/26/2005,South Windsor,L018 OAKLAND RD,34920.0,45000.0,0.776,,
161223,2016,07/21/2017,Norwalk,85 CREEPING HEMLOCK DR,242600.0,362000.0,0.670165746,Single Family,Single Family
16389,2016,09/01/2017,Darien,16 OAK PARK AVENUE,757960.0,1277000.0,0.593547377,Single Family,Single Family
160245,2016,06/14/2017,New Canaan,62 SHAGBARK DR,921690.0,1500000.0,0.61446,Single Family,Single Family
80324,2008,08/07/2009,Branford,12 HOPKINS CT,163100.0,260000.0,0.627307692,Single Family,Single Family
10167,2010,08/01/2011,Brookfield,19 BROOKS LANE,195370.0,128888.0,1.515812178,Condo,Condo
130071,2013,02/20/2014,Tolland,31 STAG TRAIL,450800.0,585000.0,0.770598291,Single Family,Single Family
20578,2002,02/03/2003,Hartford,2964 MAIN ST,469070.0,190000.0,2.468789474,,
2020303,2020,06/23/2021,Berlin,239 CHRISTIAN LN,84100.0,250000.0,0.3364,Vacant Land,
150107,2015,11/17/2015,New Haven,16 HULSE STREET,93800.0,121000.0,0.775206612,Single Family,Single Family
20496,2002,03/07/2003,Stratford,73 FIRST AVE,162950.0,375000.0,0.434533333,,
10159,2001,03/07/2002,Monroe,11 SAGE LN,202790.0,695000.0,0.291784173,,
170001,2017,10/02/2017,New Haven,25 KNEELAND RD,154980.0,265000.0,0.5848,Single Family,Single Family
80019,2008,10/15/2008,Greenwich,"611 WEST LYON FARM DR,G",851480.0,869000.0,0.979838895,Condo,Condo
200097,2020,02/09/2021,Westbrook,20 WOODSEDGE LN,13570.0,2500.0,5.428,Residential,Single Family
40537,2004,09/01/2005,Simsbury,1 FARMSTEAD LN,154170.0,122500.0,1.258530612,,
30372,2003,01/13/2004,Stratford,81 MONTERO DR,134560.0,340000.0,0.395764706,,
20369,2002,09/25/2003,Wolcott,30 EDGEWATER DR,218758.0,73000.0,2.996684932,,
20585,2002,03/18/2003,Milford,43 GUNN ST,129640.0,300000.0,0.432133333,,
170772,2017,07/21/2018,Meriden,237 LIBERTY ST,106750.0,147000.0,0.7261,Two Family,Two Family
17681,2017,09/18/2018,Newington,195 CEDARWOOD LN,146540.0,250000.0,0.5861,Single Family,Single Family
70122,2007,04/21/2008,Colchester,126 RIVER ROAD,162700.0,223000.0,0.729596413,Two Family,Two Family
18292,2018,09/19/2019,Plainfield,195 GOSEHN RD,96840.0,199900.0,0.4844,Single Family,Single Family
60246,2006,08/15/2007,Tolland,183 HARTFORD TPKE,130700.0,199000.0,0.65678392,Single Family,Single Family
150045,2015,11/09/2015,Plainville,25 S WASHINGTON ST,108360.0,173900.0,0.623116734,Single Family,Single Family
10040,2001,05/08/2002,Morris,289 KENYON RD,127920.0,200000.0,0.6396,,
90522,2009,04/29/2010,Norwalk,10 OVERBROOK RD,266070.0,510000.0,0.521705882,Single Family,Single Family
20595,2002,05/12/2003,Torrington,92 OAK AVE,78200.0,169125.0,0.462379897,,
21493,2021,08/16/2022,Ridgefield,11 RED OAK LANE,502470.0,1175000.0,0.4276,Residential,Single Family
40511,2004,05/10/2005,Naugatuck,51 4E BROOK ST,60050.0,131000.0,0.458396947,,
70292,2007,03/04/2008,Fairfield,40 FIGLAR AVE,334530.0,197500.0,1.693822785,Single Family,Single Family
10335,2001,04/01/2002,Newington,182 HUNTERS LN,82320.0,75500.0,1.090331126,,
20420,2020,06/21/2021,Darien,5 HOLLY LANE,2192890.0,3350000.0,0.6545,Residential,Single Family
13229,2013,04/01/2014,West Haven,115 ARDALE ST,177800.0,190000.0,0.935789474,Single Family,Single Family
210948,2021,06/15/2022,New Haven,117 MARVEL RD,237965.0,450000.0,0.5288,Residential,Single Family
90078,2009,08/23/2010,East Granby,10 GLEN HOLLOW,224600.0,250000.0,0.8984,Single Family,Single Family
30716,2003,08/03/2004,Branford,24 HOADLEY RD,48000.0,48000.0,1.0,,
15013,2015,10/13/2015,Darien,379 WEST AVENUE,454510.0,649000.0,0.700323575,Single Family,Single Family
30283,2003,07/13/2004,Ansonia,21 HUBBELL AVE,90100.0,179500.0,0.501949861,,
150039,2015,06/21/2016,Willington,131 WILLINGTON HILL RD,247950.0,325000.0,0.762923077,Single Family,Single Family
200629,2020,08/11/2021,New Canaan,330 ELM ST,8764350.0,1395000.0,6.282688172,Residential,Condo
110095,2011,04/30/2012,Ellington,67 HILLSIDE DR,155540.0,158900.0,0.978854626,Single Family,Single Family
21379,2002,09/30/2003,Meriden,90 HITCHCOCK DR,81970.0,142600.0,0.574824684,,
150280,2015,07/15/2016,East Lyme,148 GIANTS NECK RD,165130.0,343280.0,0.481035889,Single Family,Single Family
10245,2001,04/29/2002,Cromwell,9 BELLAIRE MNR,84680.0,169000.0,0.501065089,,
130362,2013,04/01/2014,New Haven,1087 TOWNSEND AVE,62650.0,20000.0,3.1325,Single Family,Single Family
210615,2021,03/16/2022,New Britain,98 JOHN ST,134750.0,214500.0,0.6282,Commercial,
180248,2018,01/22/2019,Torrington,95 PENNY LN,185170.0,207000.0,0.8945,Single Family,Single Family
60302,2006,07/02/2007,Stonington,2 WEQUETEQUOCK PASSAGE,222600.0,435000.0,0.511724138,Single Family,Single Family
39326,2003,01/09/2004,Fairfield,61 BENTON ST,304080.0,335000.0,0.907701493,,
11061,2011,11/15/2011,Glastonbury,20 TRYON FARM RD,2378700.0,507254.0,4.689366668,Condo,Condo
100409,2010,05/23/2011,Stratford,46 QUEENS AVE,180600.0,260000.0,0.694615385,Single Family,Single Family
17000361,2017,07/11/2018,Brookfield,68 CANDLEWOOD LAKE RD,309140.0,480000.0,0.644041667,Single Family,Single Family
20008,2002,10/17/2002,Canterbury,COREY RD,24990.0,110000.0,0.227181818,,
16017,2016,10/13/2016,Plainfield,27 WILLIAMS AVE,89100.0,134900.0,0.660489251,Single Family,Single Family
201296,2020,08/05/2021,Griswold,70-72 SLATER AVE,100450.0,259900.0,0.386494806,Residential,Two Family
900300,2009,08/11/2010,Newtown,28 TURKEY HILL ROAD,255420.0,275000.0,0.9288,Single Family,Single Family
10030,2010,11/02/2010,South Windsor,85 FELT RD #601,164450.0,331684.0,0.495803234,,
15113,2015,01/04/2016,Farmington,36 SPRING LA,2830570.0,1270000.0,2.228795276,,
100377,2010,03/21/2011,Norwalk,130 FILLOW ST 28,205380.0,293000.0,0.700955631,Condo,Condo
30247,2003,06/21/2004,Stafford,3 LAUREL LN,88340.0,185000.0,0.477513514,,
50498,2005,02/07/2006,New Britain,1432 CORBIN AVE,87710.0,188000.0,0.466542553,,
50239,2005,03/13/2006,Wethersfield,96 MTN LAUREL DR,56100.0,44447.0,1.262177425,,
50131,2005,03/17/2006,Winchester,12 COOK ST,64820.0,18980.0,3.415173867,,
151374,2015,08/10/2016,Norwalk,151 SOUTH MAIN ST,150940.0,74750.0,2.019264214,Two Family,Two Family
70053,2007,10/24/2007,Greenwich,10 BIRCHWOOD DRIVE,2122750.0,2100000.0,1.010833333,Single Family,Single Family
60110,2006,03/19/2007,Suffield,768 MAPLETON AVE,0.0,100000.0,0.0,Single Family,Single Family
210109,2021,07/11/2022,East Granby,2 POND LANE,187400.0,391500.0,0.4786,Residential,Single Family
40430,2004,09/30/2005,Colchester,47 OAKLEAF DR,126800.0,295000.0,0.429830508,,
100733,2010,05/12/2011,Waterbury,17 STONEFIELD DR #29,90370.0,65500.0,1.379694656,Condo,Condo
80015,2008,10/20/2008,Seymour,139 WEST CHURCH STREET,198170.0,235000.0,0.843276596,Single Family,Single Family
30104,2003,11/07/2003,Southington,75 DESORBO DR,131040.0,294900.0,0.444354018,,
91153,2009,07/27/2010,Stamford,57 SOUTH LINDSEY AVENUE,501740.0,695000.0,0.721928058,Single Family,Single Family
30024,2003,12/18/2003,Woodbridge,539 AMITY RD,181300.0,335000.0,0.54119403,,
110055,2011,12/06/2011,Newtown,23 SOUTH MAIN STREET,198300.0,244000.0,0.812704918,Single Family,Single Family
70140,2007,04/22/2008,Rocky Hill,704 BRIARWOOD CT,101570.0,237000.0,0.428565401,Condo,Condo
211023,2021,06/26/2022,Bristol,16 FIELD ROCK RD,85000.0,554900.0,0.1531,Residential,Single Family
70275,2007,08/18/2008,New Canaan,195 OENOKE RIDGE,2035400.0,3415000.0,0.59601757,,
210084,2021,01/10/2022,Litchfield,116 BLUE SWAMP RD,546710.0,2350000.0,0.232642553,Residential,Single Family
15239,2015,04/15/2016,Newington,129 BARN HILL LANE,324700.0,517500.0,0.627439614,Single Family,Single Family
150226,2015,05/03/2016,Simsbury,29 PHELPSCROFT ROAD,182830.0,289900.0,0.630665747,Single Family,Single Family
20198,2002,01/23/2003,Trumbull,25 FOSTER AVE,141800.0,289000.0,0.490657439,,
20397,2002,06/09/2003,Vernon,26 CAMPBELL AVE,76980.0,127000.0,0.606141732,,
1700331,2017,05/10/2018,East Haven,161 SALTONSTALL PKWY,98860.0,58000.0,1.7044,Single Family,Single Family
33403,2003,05/17/2004,New Haven,250 HALLOCK AVE,58730.0,175000.0,0.3356,,
13136,2013,10/25/2013,Stamford,24 MAC ARTHUR LANE,395350.0,610000.0,0.648114754,Single Family,Single Family
140166,2014,12/17/2014,Manchester,1-D JAMIE LANE,110000.0,142000.0,0.774647887,Condo,Condo
30981,2003,08/02/2004,Manchester,22 HOLLISTER ST,69700.0,167500.0,0.416119403,,
40074,2004,12/07/2004,Stafford,103 COLBURN RD,90370.0,150000.0,0.602466667,,
20457,2002,06/19/2003,Trumbull,7050 MAIN ST,125910.0,235000.0,0.535787234,,
13870,2013,05/01/2014,Stamford,91 STRAWBERRY HILL AVENUE #125,89150.0,139000.0,0.641366906,Condo,Condo
150576,2015,06/06/2016,Norwalk,150 WEST ROCKS RD,255470.0,297500.0,0.858722689,Single Family,Single Family
60267,2006,06/04/2007,Darien,10 CORBIN DR,2307900.0,6000000.0,0.38465,,
40339,2004,07/07/2005,Cromwell,1106 CROMWELL HL DR,45480.0,55750.0,0.815784753,,
190553,2019,06/01/2020,Manchester,35-H MARJORIE LANE,108600.0,159900.0,0.6792,Condo,Condo
60362,2006,08/14/2007,New Canaan,29 CHURCH ST,628700.0,1555000.0,0.404308682,Single Family,Single Family
180874,2018,08/26/2019,New Britain,24-4C NEW HAMPSHIRE DR,65030.0,75000.0,0.867066667,Condo,Condo
20082,2002,12/19/2002,Ledyard,54 STONYBROOK RD,86590.0,142600.0,0.607223001,,
61777,2006,06/07/2007,Bridgeport,339 GREENWOOD ST,113260.0,125000.0,0.90608,Single Family,Single Family
30007,2003,10/02/2003,Farmington,1660 9 FARMINGTON AVE,45110.0,63500.0,0.710393701,,
110010,2011,10/02/2011,West Haven,16 PECK LANE,113820.0,135000.0,0.843111111,Single Family,Single Family
15264,2015,05/23/2016,Farmington,53 WOODRUFF RD,181380.0,318500.0,0.569481947,Single Family,Single Family
31104,2003,09/30/2004,East Hartford,40 BARBARA DR,79970.0,164800.0,0.485254854,,
49383,2004,03/04/2005,Manchester,140 1/2 CHARTER OAK ST,0.0,90000.0,0.0,,
110437,2011,04/24/2012,Norwalk,21 PROSPECT ST C103,126140.0,122500.0,1.029714286,Condo,Condo
80107,2008,04/06/2009,Windham,42 OBARA DR,93250.0,150800.0,0.6183687,Single Family,Single Family
40253,2004,05/13/2005,Plainfield,WHIP POOR WILL DR,21840.0,112000.0,0.195,,
210344,2021,12/27/2021,New Haven,341 ALDEN AVE UNIT 3,71365.0,115000.0,0.6205,Residential,Condo
20254,2002,06/26/2003,New Fairfield,39 MACBEAN DR,74900.0,160000.0,0.468125,,
900298,2009,08/06/2010,Guilford,170 TULIP TREE DR,882720.0,452500.0,1.950762431,Single Family,Single Family
800372,2008,07/14/2009,Enfield,3 EILEEN LA,194460.0,254900.0,0.762887407,Single Family,Single Family
50449,2005,09/05/2006,Newtown,46 BRUSHY HL RD,279640.0,530000.0,0.527622642,,
150307,2015,08/09/2016,Berlin,96 WINDING MEADOW DRIVE,169900.0,239000.0,0.710878661,Single Family,Single Family
30568,2003,02/17/2004,Meriden,110 LONE DR,93870.0,96666.0,0.971075663,,
32627,2003,08/11/2004,Stamford,2 WASHINGTON CT 1,107450.0,360000.0,0.298472222,,
907088,2009,06/15/2010,West Haven,28 ROCKDALE RD,180110.0,60000.0,3.001833333,Single Family,Single Family
20568,2002,05/01/2003,Torrington,3568 WINSTED RD,234500.0,323000.0,0.726006192,,
800243,2008,09/25/2009,Berlin,38 COTTAGE ST EB,163600.0,241500.0,0.677432712,Single Family,Single Family
30549,2003,07/09/2004,Farmington,4I STAUNTON CT,79190.0,125000.0,0.63352,,
10253,2001,01/10/2002,Glastonbury,128 MARTIN TER,153440.0,218500.0,0.702242563,,
2002204,2020,07/27/2021,Stamford,36 SUNSET COURT,1007130.0,1548000.0,0.6506,Residential,Single Family
12059,2012,08/02/2013,Deep River,7 PLATT LA,50400.0,50000.0,1.008,,
12084,2012,11/09/2012,Fairfield,11 CHERRY HILL ROAD,293700.0,422000.0,0.695971564,Single Family,Single Family
2100926,2021,06/30/2022,Stratford,382 WINDSOR AVENUE,182770.0,440000.0,0.4153,Residential,Single Family
110179,2011,02/10/2012,Wallingford,1286 DURHAM RD,282600.0,345000.0,0.819130435,Single Family,Single Family
120384,2012,06/13/2013,Wallingford,208 HIGHLAND AVE,82200.0,384900.0,0.213561964,Single Family,Single Family
40526,2004,06/22/2005,Windsor,182 SUNNYFIELD DR,143920.0,245000.0,0.587428571,,
180134,2018,02/01/2019,East Lyme,45 HOPE ST #8,205100.0,479900.0,0.4273,Condo,Condo
17061,2017,04/23/2018,Lebanon,358 LAKESIDE DR,211280.0,325000.0,0.65,Single Family,Single Family
10169,2010,04/28/2011,South Windsor,1406 SUMMER HILL DR,141580.0,140000.0,1.011285714,Condo,Condo
60283,2006,07/02/2007,Avon,41 PAPER CHASE TRAIL,255480.0,500000.0,0.51096,Single Family,Single Family
130201,2013,10/30/2013,Clinton,4 EVERGREEN RD,178300.0,230000.0,0.775217391,Single Family,Single Family
10107,2001,12/31/2001,Trumbull,56 LAFAYETTE DR,305170.0,405000.0,0.753506173,,
10336,2001,06/21/2002,Bethel,2 COLONIAL DR,150990.0,349000.0,0.432636103,,
10368,2001,04/12/2002,Newington,529 CHURCHILL DR,59010.0,103000.0,0.572912621,,
210096,2021,09/06/2022,Bethany,110 BETHMOUR RD,282830.0,729000.0,0.387969822,Residential,Single Family
10027,2001,10/05/2001,Naugatuck,29 PEARL RD,76280.0,130000.0,0.586769231,,
42066,2004,06/13/2005,Stamford,1943 LONG RDG RD,381290.0,934250.0,0.408124164,,
20272,2002,07/01/2003,Stafford,245 CHESTNUT HL,12880.0,24000.0,0.536666667,,
22940,2002,09/19/2003,Bridgeport,101 LOUISIANA AVE,35000.0,96000.0,0.364583333,,
200726,2020,07/30/2021,Glastonbury,122 KONGSCUT VALLEY TRL,458600.0,750000.0,0.6114,Residential,Single Family
180532,2018,09/10/2019,Southbury,611 B HERITAGE VILLAGE,56220.0,95500.0,0.5886,Condo,Condo
100564,2010,07/12/2011,Danbury,5002 HANCOCK DR,249800.0,295000.0,0.846779661,Condo,Condo
160213,2016,06/27/2017,Clinton,90 LIBERTY ST,115500.0,237700.0,0.485906605,Single Family,Single Family
11020,2001,06/28/2002,Milford,103 EAST RUTLAND RD,75950.0,135000.0,0.562592593,,
70353,2007,03/13/2008,Milford,163 CLARK ST #A,126150.0,187000.0,0.67459893,Condo,Condo
20608,2002,02/20/2003,Hartford,101-103 FRANKLIN AVE,70140.0,77500.0,0.905032258,,
50465,2005,03/17/2006,Norwich,621 OLD POND LN,54000.0,82250.0,0.656534954,,
160320,2016,03/08/2017,Middletown,38 AFTON TERR,83030.0,115000.0,0.722,Single Family,Single Family
211107,2021,08/22/2022,Southington,55-2 COLUMBUS AV,127920.0,265000.0,0.4827,Residential,Condo
10250,2001,05/29/2002,East Hampton,7 BEVIN BLVD,75440.0,135000.0,0.558814815,,
120448,2012,07/03/2013,Meriden,9 HICKORY ST,63070.0,45000.0,1.401555556,Single Family,Single Family
30445,2003,11/25/2003,Waterbury,925 ORONOKE RD 34,52570.0,88900.0,0.591338583,,
49373,2004,03/02/2005,Manchester,1180 C1 MIDDLE TPKE W,23500.0,70222.0,0.334652958,,
30007,2003,10/01/2003,Greenwich,28 SINAWOY RD,288750.0,688000.0,0.419694767,,
60315,2006,07/16/2007,Avon,615 WATERVILLE RD,372160.0,545000.0,0.682862385,Single Family,Single Family
80094,2008,02/06/2009,East Lyme,29 ATTAWAN RD,226310.0,240000.0,0.942958333,Single Family,Single Family
160572,2016,03/16/2017,Waterbury,214 LINCOLN ST,36610.0,90000.0,0.406777778,Three Family,Three Family
70205,2007,01/08/2008,Greenwich,64 MEAD AVE #1,705880.0,820000.0,0.860829268,Condo,Condo
170864,2017,08/01/2018,Hamden,75 WASHINGTON AVE U2401,48370.0,85000.0,0.569,Condo,Condo
17765,2017,08/07/2018,Hartford,236 GRANBY ST,37695.0,95000.0,0.3967,Single Family,Single Family
160269,2016,03/27/2017,Branford,29 WILDWOOD DR,183800.0,262000.0,0.701526718,Single Family,Single Family
150955,2015,07/18/2016,Danbury,HALL PASSWAY,157200.0,303750.0,0.517530864,Single Family,Single Family
140209,2014,04/21/2015,Cheshire,895 MOUNTAIN RD,283650.0,420000.0,0.675357143,Single Family,Single Family
19790,2019,08/07/2020,Hartford,64 CONGRESS ST #0402,25900.0,60000.0,0.4317,Condo,Condo
10017,2010,11/01/2010,North Haven,4 OAK STREET,163800.0,175000.0,0.936,Single Family,Single Family
20074,2002,07/28/2003,Pomfret,100 PUTNAM RD,70060.0,145000.0,0.483172414,,
60123,2006,10/23/2006,Norwalk,16 HERITAGE HL RD,309610.0,575000.0,0.538452174,Single Family,Single Family
20949,2002,02/27/2003,Stamford,18 GURLEY RD,284970.0,693500.0,0.410915645,,
10322,2001,07/16/2002,Darien,4 PRATT IS,853230.0,3500000.0,0.24378,,
210955,2021,09/22/2022,Torrington,42 WORKMAN AVE,86350.0,260000.0,0.3321,Residential,Three Family
170229,2017,01/03/2018,Manchester,150 JACQUELINE DRIVE,255500.0,340000.0,0.7514,Single Family,Single Family
40323,2004,04/01/2005,South Windsor,408 OAKLAND RD,98710.0,162740.0,0.606550326,,
100209,2010,06/29/2011,Berlin,16 IRIS WAY,204800.0,282995.0,0.723687698,Condo,Condo
13097,2013,01/16/2014,Wilton,384 STURGES RIDGE RD,1953630.0,3150000.0,0.6202,Single Family,Single Family
40083,2004,11/05/2004,Southbury,POTOMAC TRL,310.0,7000.0,0.044285714,,
140243,2014,12/22/2014,Danbury,22 OLD PASTURE DR,167500.0,545949.0,0.306805214,Condo,Condo
60055,2006,03/15/2007,Durham,57 WILDWOOD LN,244440.0,320000.0,0.763875,Single Family,Single Family
200117,2020,07/19/2021,Goshen,42 TOWN HILL RD,380530.0,725000.0,0.5248,Residential,Single Family
81121,2008,08/12/2009,Ridgefield,26 MARSHALL RD.,508740.0,654500.0,0.777295646,Single Family,Single Family
130177,2013,02/24/2014,Branford,40 YOWAGO AVE,345900.0,700000.0,0.494142857,Single Family,Single Family
60133,2006,04/20/2007,Mansfield,58-60 RIVERVIEW,88760.0,245000.0,0.362285714,Two Family,Two Family
20272,2002,07/01/2003,East Hampton,9 LAKEVIEW ST,109020.0,182000.0,0.599010989,,
16070,2016,03/09/2017,Haddam,44 CLARK RD,99410.0,54900.0,1.810746812,Single Family,Single Family
150222,2015,04/18/2016,South Windsor,701 SANDSTONE DR,137300.0,215000.0,0.638604651,Condo,Condo
20146,2002,04/01/2003,Canton,50 E HILL RD,41300.0,104000.0,0.397115385,,
20320,2002,06/16/2003,Windham,457 HIGH ST,57920.0,110000.0,0.526545455,,
80372,2008,07/07/2009,Glastonbury,44 GIDEON LN,191000.0,240000.0,0.795833333,Single Family,Single Family
180845,2018,09/27/2019,Torrington,839 MAIN ST UNIT 104,40070.0,49000.0,0.8177,Condo,Condo
201062,2020,07/08/2021,West Hartford,1960 BOULEVARD,272300.0,620000.0,0.4391,Residential,Single Family
130601,2013,06/03/2014,Greenwich,464 COGNEWAUGH RD,1122800.0,1300000.0,0.863692308,Single Family,Single Family
32913,2003,02/26/2004,New Haven,56 SHELTON AVE,54600.0,43000.0,1.269767442,,
100108,2010,07/26/2011,Prospect,150 PINE DR,22020.0,42500.0,0.518117647,Single Family,Single Family
30538,2003,07/29/2004,South Windsor,114 GRIFFIN RD,113500.0,212000.0,0.535377358,,
160099,2016,11/23/2016,Branford,1P THIMBLE ISLE,48200.0,89900.0,0.536151279,Condo,Condo
160252,2016,11/15/2016,Stamford,46 NATHAN HALE DRIVE,510260.0,885000.0,0.576564972,Single Family,Single Family
10066,2001,04/04/2002,East Granby,34 N MAIN ST,73200.0,288307.0,0.253896021,,
30232,2003,11/16/2003,Hartford,92 CHESTER ST,78470.0,128750.0,0.609475728,,
50597,2005,12/29/2005,Stamford,49 GLENBROOK RD 209,171080.0,419000.0,0.408305489,,
100239,2010,02/22/2011,New Britain,144 WINTHROP ST,156800.0,150000.0,1.045333333,Two Family,Two Family
190207,2019,08/14/2020,Canton,26 CHRISTMAS TREE HILL,245360.0,378000.0,0.6491,Single Family,Single Family
30286,2003,08/09/2004,East Windsor,40 HARRINGTON RD,122500.0,500000.0,0.245,,
10286,2001,04/15/2002,Vernon,327 HARTFORD TPKE,488080.0,702000.0,0.695270655,,
60131,2006,12/27/2006,South Windsor,35 MAIN STREET #F-13,28960.0,8000.0,3.62,,
50879,2005,06/05/2006,Manchester,400 N MAIN ST UT 7,49200.0,130000.0,0.378461538,,
80247,2008,06/29/2009,Vernon,84 CAMPBELL AVE,120900.0,155000.0,0.78,Single Family,Single Family
160220,2016,01/10/2017,Middletown,110 PINEHURST PL,268040.0,420000.0,0.638190476,Single Family,Single Family
60902,2006,02/20/2007,Waterbury,86 SHERMAN AVE UTS 5 &,40600.0,210000.0,0.193333333,Condo,Condo
15250,2015,08/19/2016,Plainfield,264 PROSPECT ST,91170.0,129900.0,0.701847575,Single Family,Single Family
61517,2006,07/30/2007,Norwalk,81 WOLFPIT AVE #A4,204470.0,425000.0,0.481105882,Condo,Condo
70059,2007,04/30/2008,East Granby,12 COPPER GATE RD,253500.0,390000.0,0.65,Single Family,Single Family
210044,2021,11/04/2021,Windham,192 MULLEN HILL RD,133410.0,299900.0,0.4448,Residential,Single Family
60066,2006,05/07/2007,Harwinton,6 BUCKRIDGE RD,182350.0,315000.0,0.578888889,Single Family,Single Family
200334,2020,01/04/2021,Torrington,64 MCGUINNESS ST,74550.0,157500.0,0.4733,Residential,Single Family
90118,2009,04/28/2010,Cromwell,7 HUNTERS RUN,141140.0,205000.0,0.688487805,Condo,Condo
60093,2006,11/06/2006,Norwich,56 ST REGIS AVE UT 52B,38000.0,97000.0,0.391752577,Condo,Condo
200199,2020,07/08/2021,Old Lyme,27 LORDS MEADOW LA,90000.0,800000.0,0.1125,Vacant Land,
12770,2012,07/23/2013,Fairfield,85 KAREN STREET,327880.0,450000.0,0.728622222,Condo,Condo
12345,2012,03/27/2013,Fairfield,82 BURROUGHS ROAD,275660.0,440000.0,0.6265,Single Family,Single Family
130444,2013,06/17/2014,Meriden,346 ELM ST,85680.0,110000.0,0.778909091,Single Family,Single Family
133588,2013,06/23/2014,West Hartford,"15 HIGHLAND ST, UNIT 309",135310.0,182000.0,0.743461538,Condo,Condo
20133,2002,01/09/2003,Westport,18 WATERSIDE TER,431900.0,800000.0,0.539875,,
160011,2016,10/11/2016,Southbury,248 OLD WOODBURY RD,266270.0,270000.0,0.986185185,Single Family,Single Family
21126,2002,06/26/2003,West Hartford,136 KANE ST B3,19000.0,94000.0,0.20212766,,
90343,2009,07/07/2010,Vernon,13 JAN DR,159720.0,107500.0,1.485767442,Single Family,Single Family
80298,2008,08/21/2009,Trumbull,26 STAG LN,358300.0,435000.0,0.823678161,Single Family,Single Family
12368,2012,04/26/2013,Hartford,97-99 LINCOLN ST,49318.0,10000.0,4.9318,Three Family,Three Family
70135,2007,03/24/2008,North Haven,5 COLONIAL DR,242060.0,347000.0,0.697579251,Single Family,Single Family
150248,2015,02/19/2016,Norwich,527 WEST THAMES ST #60,65700.0,85000.0,0.772941176,Condo,Condo
