Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
10260,2001,02/28/2002,Naugatuck,121 PHYLISS DR,89640.0,150000.0,0.5976,,
30248,2003,01/12/2004,Manchester,41 DELMONT ST,65800.0,131000.0,0.502290076,,
80382,2008,09/16/2009,Groton,139 LAURELWOOD RD,142310.0,239900.0,0.593205502,Single Family,Single Family
10406,2001,06/27/2002,South Windsor,187 QUARRY BRK DR,136020.0,270500.0,0.50284658,,
200229,2020,11/17/2020,Danbury,55 MILL PLAIN RD 15-5,140600.0,282000.0,0.4985,Residential,Condo
2020237,2020,05/19/2021,Old Saybrook,17 COLLEGE ST,248400.0,380000.0,0.6536,Residential,Single Family
20393,2020,02/03/2021,Hartford,56 JUDSON ST,47915.0,180000.0,0.2661,Residential,Three Family
200250,2020,03/04/2021,Vernon,95 HIGH ST,32910.0,17000.0,1.9358,Vacant Land,
180269,2018,01/15/2019,Fairfield,116 RONALD DRIVE,322720.0,430000.0,0.7505,Single Family,Single Family
20404,2002,03/03/2003,Torrington,243 FUNSTON AVE,64300.0,105000.0,0.612380952,,
200023,2020,02/16/2021,Chaplin,9 RIDGE RD,110600.0,236677.0,0.4673,Residential,Two Family
200593,2020,09/01/2021,Vernon,22 WESTWOOD DR,156900.0,195999.0,0.8005,Residential,Single Family
13863,2013,04/30/2014,Stamford,30 GLENBROOK ROAD # 6E,129710.0,260000.0,0.498884615,Condo,Condo
10218,2001,07/26/2002,East Windsor,56 OLD ELLINGTON RD,70400.0,145000.0,0.485517241,,
30149,2003,08/16/2004,North Stonington,25 JOHNSON RD,128240.0,325000.0,0.394584615,,
140058,2014,01/23/2015,Woodbury,4 RACCOON RIDGE,104940.0,153000.0,0.685882353,Condo,Condo
150952,2015,09/29/2016,New Britain,36 OLIVE ST,109760.0,62500.0,1.75616,Three Family,Three Family
30285,2003,07/28/2004,Ellington,3 WOODLAND TRL,59270.0,555341.0,0.106727218,,
150414,2015,05/26/2016,Middletown,203 MAIN ST,2447910.0,2850000.0,0.858915789,,
121614,2012,01/25/2013,Stratford,76 RIVER BEND RD UNIT B,168700.0,200000.0,0.8435,Condo,Condo
120405,2012,07/19/2013,Norwich,112 PALMER ST,160000.0,70500.0,2.269503546,Single Family,Single Family
10002,2001,10/01/2001,Old Saybrook,1 BARRETT LN,122400.0,233000.0,0.525321888,,
200802,2020,06/30/2021,Torrington,17 ARBOR RIDGE RD,139350.0,253000.0,0.5507,Residential,Single Family
60126,2006,04/26/2007,Ansonia,124 WESTFIELD AVE,78000.0,239900.0,0.325135473,Two Family,Two Family
20647,2002,05/01/2003,Fairfield,1133 CEDAR RD,620970.0,1160000.0,0.535318966,,
20172,2002,09/24/2003,Thomaston,78 HIGH ST REAR,102620.0,183000.0,0.560765027,,
70029,2007,04/29/2008,Pomfret,23 WOODS HILL RD,66600.0,85000.0,0.783529412,,
2020136,2020,03/01/2021,Old Saybrook,10 ORCHARD LA,174800.0,321000.0,0.5445,Residential,Single Family
20178,2020,02/04/2021,Watertown,342 CONCORD DR,226300.0,357000.0,0.6338,Residential,Single Family
10926,2001,02/05/2002,Bridgeport,854 HART ST,54320.0,110000.0,0.493818182,,
2020174,2020,03/31/2021,Tolland,339 MILE HILL RD,167500.0,295339.0,0.5671,Residential,Single Family
180541,2018,12/03/2018,Milford,32 BURWELL AVE,169970.0,228000.0,0.7454,Single Family,Single Family
90043,2009,10/29/2009,Wallingford,838 EAST CENTER ST,140000.0,189900.0,0.737230121,Single Family,Single Family
210190,2021,05/04/2022,East Hampton,85 NORTH MAIN ST UNIT 107,103800.0,185000.0,0.561,Residential,Condo
170159,2017,05/24/2018,Clinton,133 W MAIN ST SITE A24,17100.0,10000.0,1.71,Single Family,Single Family
200615,2020,08/02/2021,East Haven,11 PARK PL,192070.0,372900.0,0.515,Residential,Two Family
71032,2007,08/25/2008,Norwalk,12 WILTON AVE,195790.0,292900.0,0.668453397,Two Family,Two Family
800671,2008,08/31/2009,Bristol,436 BROAD ST,258170.0,200000.0,1.29085,,
50021,2005,10/07/2005,Norwich,29 HARBOR VW LN,0.0,198450.0,0.0,,
60164,2006,02/20/2007,Simsbury,22 HUNTING RIDGE DR,277900.0,860000.0,0.323139535,Single Family,Single Family
30231,2003,12/11/2003,New Milford,60 TAMARACK RD,42420.0,429000.0,0.098881119,,
13189,2013,07/18/2014,Monroe,160 PEPPER ST,255570.0,375000.0,0.68152,Single Family,Single Family
190333,2019,01/09/2020,Danbury,8 BARNUM RD,217700.0,320000.0,0.6803,Single Family,Single Family
190460,2019,04/03/2020,Bristol,HARRSISON ST LOTS 27 AND 28,31500.0,80000.0,0.3938,,
200108,2020,11/20/2020,Stonington,186 FLANDERS RD,95000.0,179900.0,0.528,Vacant Land,
110095,2011,11/23/2011,Southington,59 LOMBARDO CT,236530.0,472000.0,0.501122881,Single Family,Single Family
120102,2012,12/27/2012,Norwich,90 SALEM TPKE,227000.0,180000.0,1.261111111,,
140120,2014,01/16/2015,Waterford,82 LONGVIEW ST #3,55860.0,44900.0,1.244097996,Condo,Condo
80691,2008,06/24/2009,Stamford,71 STRAWBERRY HILL AVENUE UT72,149680.0,175000.0,0.855314286,Condo,Condo
14196,2014,09/09/2015,Colchester,75 WEST RD,139300.0,220500.0,0.631746032,Single Family,Single Family
10174,2001,10/22/2001,Bridgeport,25 BEECHWOOD AVE,65800.0,63000.0,1.044444444,,
180255,2018,04/04/2019,Vernon,31 IRENE DR,204330.0,212000.0,0.963820755,Single Family,Single Family
200377,2020,03/23/2021,Trumbull,237 PINEWOOD TRAIL,181510.0,312000.0,0.581762821,Residential,Single Family
70114,2007,02/08/2008,Avon,6 SADDLE RIDGE DR,157750.0,400000.0,0.394375,,
110395,2011,05/31/2012,Bristol,367 PARK ST,86660.0,42199.0,2.053603166,Single Family,Single Family
40406,2004,06/28/2005,Avon,15 WILTSHIRE LN,437560.0,770000.0,0.56825974,,
800247,2008,08/07/2009,Westport,85 RICHMONDVILLE AVE,1394100.0,1624900.0,0.85796049,Single Family,Single Family
120040,2012,11/19/2012,Cheshire,228 ELMWOOD CIRCLE,163570.0,167062.0,0.979097581,Single Family,Single Family
80884,2008,06/12/2009,Waterbury,405 BUNKER HILL AVE,159270.0,177000.0,0.899830508,Single Family,Single Family
11800,2001,08/23/2002,Danbury,41 TAMARACK AVE 131,121900.0,240000.0,0.507916667,,
50231,2005,11/15/2005,Norwalk,50 AIKEN ST,174090.0,327000.0,0.532385321,,
50344,2005,01/30/2006,East Hartford,31 HIGH ST UT 4207,47300.0,129900.0,0.364126251,,
41878,2004,04/15/2005,Bridgeport,35 HIGGINS AVE,110741.0,195000.0,0.567902564,,
110263,2011,03/09/2012,Hamden,95 KIRK RD,252070.0,325000.0,0.7756,Single Family,Single Family
60658,2006,12/06/2006,Waterbury,80 CHARLES ST,81480.0,19667.0,4.142980627,Three Family,Three Family
29003,2002,09/10/2003,Voluntown,221 BROWN RD,24430.0,58000.0,0.421206897,,
10061,2001,01/29/2002,Somers,159 COUNTY RD,27580.0,72000.0,0.383055556,,
200024,2020,10/05/2020,Danbury,55 MILL PLAIN RD 19-4,129500.0,239900.0,0.5398,Residential,Condo
40715,2004,05/19/2005,Hamden,1745 DIXWELL AVE,98910.0,235000.0,0.420893617,,
170126,2017,11/07/2017,Manchester,94-3 MIDDLE TURNPIKE EAST,44800.0,85000.0,0.527058824,Condo,Condo
130095,2013,11/04/2013,West Hartford,48 ELMHURST CIRCLE,132090.0,220000.0,0.600409091,Single Family,Single Family
140839,2014,04/20/2015,Stamford,132 OAKLAWN AVENUE,252540.0,335000.0,0.753850746,Single Family,Single Family
30385,2003,04/16/2004,Glastonbury,51 KREIGER LN,102100.0,220000.0,0.464090909,,
170200,2017,07/10/2018,Suffield,6 CHERRY BROOK LN,337680.0,563000.0,0.5997,Single Family,Single Family
50549,2005,03/29/2006,Stratford,45 PECK ST,156310.0,250000.0,0.62524,,
20293,2002,12/18/2002,Manchester,150 W CENTER ST,75400.0,180000.0,0.418888889,,
70135,2007,04/03/2008,Windham,22 SOUTH RIDGE DR,91130.0,151821.0,0.600246343,Single Family,Single Family
19117,2019,12/27/2019,Farmington,856 PLAINVILLE AV,61070.0,127500.0,0.479,,
10974,2001,06/26/2002,West Hartford,25 CASTLEWOOD RD,137760.0,376000.0,0.366382979,,
150032,2015,10/23/2015,Groton,48 PEQUOT AVE,275450.0,400000.0,0.688625,Single Family,Single Family
150468,2015,06/20/2016,Glastonbury,2740 HEBRON AVE,210600.0,289000.0,0.728719723,Single Family,Single Family
100048,2010,11/08/2010,Middletown,36 OLD JOHNSON LA,339620.0,275000.0,1.234981818,Single Family,Single Family
80577,2008,08/03/2009,Manchester,59 WHITNEY ROAD,114000.0,155000.0,0.735483871,Single Family,Single Family
210001,2021,10/04/2021,Somers,20 MAPLE RIDGE DRIVE,138600.0,210000.0,0.66,Residential,Single Family
20661,2020,04/21/2021,Watertown,14 SAUGUS AVE,135300.0,275000.0,0.492,Residential,Single Family
