Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Sale Year,Sale Month,Sale Amount_Log,Sale Amount_Scaled,Is_Undervalued,Property Type_Commercial,Property Type_Condo,Property Type_Four Family,Property Type_Industrial,Property Type_Residential,Property Type_Single Family,Property Type_Three Family,Property Type_Two Family,Property Type_Unspecified,Property Type_Vacant Land,Residential Type_Four Family,Residential Type_Non-Residential,Residential Type_Single Family,Residential Type_Three Family,Residential Type_Two Family
20267,2002,2003-09-24,Hebron,229 EAST ST,117080.0,206000.0,0.568349515,2003,9,12.235636302128867,-0.12429098454110485,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60260,2006,2006-12-06,Danbury,17 MAPLE RDG RD,144500.0,324000.0,0.445987654,2006,12,12.688501881189456,0.36944893882145247,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40691,2004,2005-01-31,Danbury,375 MAIN ST,190200.0,428000.0,0.444392523,2005,1,12.966880811009801,0.6729535499697838,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
140036,2014,2014-12-23,Brooklyn,121 VINA LN,63370.0,100000.0,0.6337,2014,12,11.51293546492023,-0.9122207201541292,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1700436,2017,2018-07-05,East Haven,292 LAUREL ST,108020.0,90000.0,1.200222222,2018,7,11.407576060361786,-1.0270895614560442,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
130012,2013,2013-11-12,Somers,82 HANGDOG LN,197540.0,138300.0,1.428344179,2013,11,11.837187748284698,-0.5587023585453571,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
80109,2008,2009-05-29,Ellington,3 CRANBERRY LN,235430.0,340000.0,0.692441176,2009,5,12.73670383776449,0.4220014653231367,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
160293,2016,2017-04-20,Southbury,329 A HERITAGE VILLAGE,102830.0,170000.0,0.604882353,2017,4,12.043559598368038,-0.3337039789915318,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11602,2001,2002-06-04,Stamford,18 HORTON ST,188790.0,502000.0,0.376075697,2002,6,13.126357390703754,0.8468240269434391,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10812,2001,2002-09-25,Newtown,27 VALLEY VIEW RD,140200.0,367500.0,0.381496599,2002,9,12.81448131871976,0.5067989179488102,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
80396,2008,2009-08-18,Greenwich,"5 RAYMOND STREET,OG",1137640.0,1450000.0,0.78457931,2009,8,14.187074804051692,2.0032787424069705,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
150246,2015,2016-08-17,Cromwell,1 BOW LANE,162660.0,245000.0,0.663918367,2016,8,12.409017571151187,0.06473917901683268,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
100035,2010,2011-07-25,Lisbon,9 PLEASANT VIEW COVE,53610.0,76500.0,0.700784314,2011,7,11.245059091624615,-1.2042748442409614,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10090,2001,2001-10-30,Norwich,82 HUNTERS AVE,60300.0,18000.0,3.35,2001,10,9.798182590890704,-2.7817422553640077,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15078,2015,2016-06-06,New Hartford,82 BEHRENS ROAD,142380.0,220000.0,0.647181818,2016,6,12.301387370778713,-0.05260541359635967,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50192,2005,2005-11-18,Manchester,91 HIGH ST,63000.0,176000.0,0.357954545,2005,11,12.07824495582233,-0.29588802096087385,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
80037,2008,2009-07-21,Salem,131 FORSYTH ROAD,122530.0,185000.0,0.662324324,2009,7,12.128116509451258,-0.2415152043785285,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14258,2014,2015-06-11,Ridgefield,58 SETH LOW MNT RD,462800.0,712000.0,0.65,2015,6,13.475834594887509,1.227844038154232,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2100086,2021,2021-10-12,Stamford,700 SUMMER STREET #8C,140490.0,230000.0,0.6108,2021,10,12.345838935721968,-0.0041417782855111525,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201395,2020,2021-08-18,New London,9 ARCHER CT,88130.0,96390.0,0.9143,2021,8,11.476168115244377,-0.952306585034513,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
160549,2016,2017-06-27,Southington,26 OLD FARM RD,155220.0,259200.0,0.598842593,2017,6,12.465359101477505,0.12616593377958213,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14161,2014,2015-04-10,Darien,38 KENSETT LANE,266490.0,1788472.0,0.14900429,2015,4,14.396872741117718,2.2320124376979167,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10013,2001,2001-10-09,Guilford,NUT PLAINS RD W,116560.0,143000.0,0.815104895,2001,10,11.870606902224585,-0.522266887915531,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1500395,2015,2016-08-03,East Haven,28 NAVARRO RD,119920.0,170000.0,0.705411765,2016,8,12.043559598368038,-0.3337039789915318,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40102,2004,2005-05-13,Kent,19 VALLEY VW RD,330300.0,204000.0,1.619117647,2005,5,12.225880174775122,-0.13492767188207147,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
17057,2017,2017-10-31,Newington,55 OLD FARM DRIVE,116420.0,130000.0,0.895538462,2017,10,11.775297421715825,-0.6261787279359988,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
130245,2013,2014-06-18,East Lyme,97 W MAIN ST #96,139160.0,210000.0,0.662666667,2014,6,12.25486757159303,-0.10332395602218548,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16344,2016,2017-02-23,East Hartford,283 PROSPECT ST.,94530.0,53025.0,1.782743989,2017,2,10.878537638283813,-1.6038774695025497,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
210427,2021,2022-02-22,Fairfield,782 OLDFIELD ROAD,554750.0,1100000.0,0.5043,2022,2,13.910821646859095,1.7020917700080616,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160097,2016,2017-02-17,East Windsor,16 WESLEY RD.,112360.0,146000.0,0.769589041,2017,2,11.891368749982085,-0.4996311355098891,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
160582,2016,2017-04-26,Stratford,255 LONDON TER,174510.0,185500.0,0.940754717,2017,4,12.130815551850676,-0.23857255417710482,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
120672,2012,2013-07-01,West Hartford,10 GOLF ROAD,411040.0,655000.0,0.627541985,2013,7,13.39239204133378,1.1368701997754,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70164,2007,2007-11-06,Norwalk,6 JACKSON DR,417830.0,900000.0,0.464255556,2007,11,13.710151153416941,1.4833093351434334,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70209,2007,2008-01-28,Southington,OLD TURNPIKE RD,347270.0,360000.0,0.964638889,2008,1,12.793862088206213,0.48431865500925936,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
70168,2007,2007-12-13,Greenwich,35 WESSKUM WOOD RD,1529780.0,2695000.0,0.567636364,2007,12,14.806909133382678,2.679057535081383,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17158,2017,2018-03-29,North Haven,8 POND VIEW CIR,196210.0,302000.0,0.6497,2018,3,12.618185607609803,0.292786120683725,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
